_id,psuedocode,state,district,rural_urban,assembly,parliamentary,lgd_urban_local_body_name,lgd_ward_name,lgd_vill_name,lgd_vill_panchayat_name,school_category,school_type,lowclass,highclass,managment,pincode,year_of_establishment,year_of_recognition_pr,year_of_recognition_up,year_of_recognition_sec,year_of_recognition_hsec,special_school_for_cwsn,shift_school,resi_school,resi_type,minority_school,medium_instr1,medium_of_instr2,medium_of_instr3,medium_of_instr4,aff_board_sec,aff_board_hsec,approachable_road,pre_primary,anganwadi_premises,anganwadi_boys,anganwadi_girls,anganwadi_worker,instr_days_pr,instr_days_up,instr_days_sec,instr_days_hsec,avg_school_hrs_student_pr,avg_school_hrs_student_up,avg_school_hrs_student_sec,avg_school_hrs_student_hsec,avg_school_hrs_teacher_pr,avg_school_hrs_teacher_up,avg_school_hrs_teacher_sec,avg_school_hrs_teacher_hsec,cce_pr,cce_up,cce_sec,cce_hsec
54,4710252,West Bengal,KOLKATA,2,"","",Kolkata-Municipal Corporations,Kolkata (M Corp.) - Ward No.1,"","",1,3,1,4,1,700002,1970,1972,,,,2,2,3,9,2,2,0,0,0,0,0,1,1,2,0,0,0,248,0,0,0,4.00,0.00,0.00,0.00,4.30,0.00,0.00,0.00,1,9,9,9
55,1687530,West Bengal,KOLKATA,2,"","",Kolkata-Municipal Corporations,Kolkata (M Corp.) - Ward No.1,"","",1,3,1,5,1,700002,1964,1964,,,,2,2,3,9,2,4,0,0,0,0,0,1,1,2,0,0,0,248,0,0,0,4.40,0.00,0.00,0.00,5.10,0.00,0.00,0.00,1,9,9,9
56,5838983,West Bengal,KOLKATA,2,"","",Kolkata-Municipal Corporations,Kolkata (M Corp.) - Ward No.1,"","",1,3,1,5,1,700002,1927,1927,,,,2,2,3,9,2,4,0,0,0,0,0,1,1,2,0,0,0,248,0,0,0,4.30,0.00,0.00,0.00,5.00,0.00,0.00,0.00,1,9,9,9
57,6919459,West Bengal,KOLKATA,2,"","",Kolkata-Municipal Corporations,Kolkata (M Corp.) - Ward No.1,"","",1,3,1,4,1,700002,1966,1968,,,,2,2,3,9,2,18,0,0,0,0,0,1,1,2,0,0,0,248,0,0,0,4.40,0.00,0.00,0.00,5.10,0.00,0.00,0.00,1,9,9,9
58,9139229,West Bengal,KOLKATA,2,"","",Kolkata-Municipal Corporations,Kolkata (M Corp.) - Ward No.1,"","",1,3,1,4,1,700002,1968,1968,,,,2,1,3,9,2,4,0,0,0,0,0,1,2,2,0,0,0,232,0,0,0,5.10,0.00,0.00,0.00,5.40,0.00,0.00,0.00,1,9,9,9
59,4687886,West Bengal,KOLKATA,2,"","",Kolkata-Municipal Corporations,Kolkata (M Corp.) - Ward No.1,"","",1,3,1,4,1,700002,1974,1974,,,,2,2,3,9,2,4,0,0,0,0,0,2,1,2,0,0,0,248,0,0,0,4.40,0.00,0.00,0.00,5.30,0.00,0.00,0.00,1,9,9,9
60,9210683,West Bengal,KOLKATA,2,"","",Kolkata-Municipal Corporations,Kolkata (M Corp.) - Ward No.1,"","",1,3,1,4,1,700002,1973,1973,,,,2,2,3,9,2,4,0,0,0,0,0,1,1,2,0,0,0,248,0,0,0,4.40,0.00,0.00,0.00,5.10,0.00,0.00,0.00,1,9,9,9
61,3462050,West Bengal,KOLKATA,2,"","",Kolkata-Municipal Corporations,Kolkata (M Corp.) - Ward No.1,"","",1,3,1,5,1,700002,1970,1973,,,,2,2,3,9,2,18,0,0,0,0,0,1,1,2,0,0,0,248,0,0,0,5.40,0.00,0.00,0.00,6.00,0.00,0.00,0.00,1,9,9,9
62,8377066,West Bengal,KOLKATA,2,"","",Kolkata-Municipal Corporations,Kolkata (M Corp.) - Ward No.2,"","",1,3,1,4,1,700030,1938,1949,,,,2,2,3,9,2,2,0,0,0,0,0,1,1,2,0,0,0,234,0,0,0,4.00,0.00,0.00,0.00,4.30,0.00,0.00,0.00,1,9,9,9
63,1915546,West Bengal,KOLKATA,2,"","",Kolkata-Municipal Corporations,Kolkata (M Corp.) - Ward No.2,"","",4,2,5,8,1,700002,1979,,1979,,,2,1,3,9,2,4,0,0,0,0,0,1,9,2,0,0,0,0,202,0,0,0.00,4.00,0.00,0.00,0.00,4.30,0.00,0.00,9,1,9,9
