_id,psuedocode,building_status,no_building_blocks,pucca_building_blocks,boundary_wall,total_class_rooms,other_rooms,classrooms_in_good_condition,classrooms_needs_minor_repair,classrooms_needs_major_repair,separate_room_for_hm,total_boys_toilet,total_boys_func_toilet,total_girls_toilet,total_girls_func_toilet,func_boys_cwsn_friendly,func_girls_cwsn_friendly,urinal_boys,urinla_girls,handwash_near_toilet,drinking_water_available,drinking_water_functional,rain_water_harvesting,handwash_facility_for_meal,electricity_availability,solar_panel,library_availability,playground_available,medical_checkups,availability_ramps,availability_of_handrails,furniture_availability,ict_lab,laptop,tablet,desktop,digiboard,projector,printer,internet,dth
366,6194909,2,1,1,1,1,0,1,0,0,2,1,1,1,1,0,0,1,1,1,1,1,2,1,1,2,2,2,1,2,2,50,2,0,0,0,0,0,0,2,2
367,7294147,2,2,2,1,20,4,8,0,12,1,3,3,2,2,0,0,1,0,1,1,1,2,1,1,2,1,2,1,2,2,500,2,10,0,7,0,1,2,1,2
368,2083578,3,1,1,2,3,5,0,3,0,2,0,0,3,2,0,0,0,1,1,1,1,2,1,1,2,1,1,1,1,2,60,2,0,0,0,0,0,0,2,2
369,4110489,4,1,1,1,4,0,4,0,0,1,2,2,2,2,1,1,1,0,1,1,1,2,1,1,2,1,2,2,1,2,10,2,0,0,0,0,0,0,2,2
370,8833241,1,1,1,1,4,1,4,0,0,2,1,1,1,1,0,0,1,1,1,1,1,2,1,1,2,1,1,2,1,2,40,2,0,0,0,0,0,0,2,2
371,1519719,2,1,1,5,1,2,0,1,0,2,1,1,1,1,0,0,1,1,1,1,1,2,1,1,2,1,2,1,1,2,22,2,0,0,0,0,0,0,2,2
372,2261089,2,3,0,1,7,0,7,0,0,2,1,1,1,1,0,0,1,1,1,1,1,2,1,1,2,1,2,2,2,2,0,2,0,0,0,0,0,0,2,2
373,2999744,4,1,1,1,10,2,9,0,1,2,0,0,3,3,0,0,0,3,1,1,1,2,1,1,2,1,1,1,1,2,350,2,0,0,1,0,0,0,2,2
374,8229976,2,1,1,1,4,1,0,0,4,2,1,1,1,1,1,0,1,1,1,1,1,2,1,1,2,1,2,1,2,2,31,2,0,0,0,0,0,0,2,2
375,4161702,1,1,0,1,10,3,2,7,1,1,0,0,1,1,0,0,0,1,1,1,1,2,1,1,2,1,2,1,2,2,21,2,0,0,0,0,0,0,1,2
376,7882263,1,2,1,7,18,11,10,6,2,1,0,0,10,10,0,0,0,13,1,1,1,2,1,1,2,1,2,1,1,2,400,1,0,0,15,0,3,3,1,2
377,4444404,1,1,1,6,13,4,11,0,2,1,7,7,0,0,0,0,10,0,2,1,1,2,2,1,2,1,2,1,1,2,200,1,0,0,13,2,2,2,1,2
378,7359621,3,2,2,3,2,3,2,0,0,1,1,1,3,3,0,0,3,1,1,1,1,2,1,1,2,2,1,1,1,2,40,2,0,0,0,0,0,0,2,2
379,2978629,3,1,1,1,3,3,3,0,0,2,1,1,1,1,0,0,1,1,1,1,1,2,1,1,2,1,1,1,1,2,0,2,0,0,0,0,0,0,2,2
380,9428252,3,1,1,1,4,2,0,3,1,2,2,2,1,1,0,0,0,0,1,1,1,2,1,1,2,1,2,2,1,2,15,2,0,0,0,0,0,0,2,2
